name,temp_c,weather_condition,wind_mph,wind_dir,precip_mm,ID,last_update,date,hours
Dublin,7,Partly cloudy,24,E,0,557,08/03/2024 19:45,08/03/2024 00:00,7:00 pm
Dublin,6,Partly cloudy,22,E,0,559,08/03/2024 20:15,08/03/2024 00:00,8:00 pm
Dublin,6,Partly cloudy,21,E,0,561,08/03/2024 20:45,08/03/2024 00:00,8:00 pm
Dublin,6,Partly cloudy,21,E,0,563,08/03/2024 21:15,08/03/2024 00:00,9:00 pm
Dublin,6,Partly cloudy,22,E,0,565,08/03/2024 21:45,08/03/2024 00:00,9:00 pm
Dublin,6,Partly cloudy,22,E,0,567,08/03/2024 22:15,08/03/2024 00:00,10:00 pm
Dublin,6,Partly cloudy,24,E,0,569,08/03/2024 22:45,08/03/2024 00:00,10:00 pm
Dublin,6,Partly cloudy,23,E,0,571,08/03/2024 23:15,08/03/2024 00:00,11:00 pm
Dublin,6,Partly cloudy,22,E,0,573,08/03/2024 23:45,08/03/2024 00:00,11:00 pm
Dublin,6,Partly cloudy,22,E,0,575,09/03/2024 00:15,09/03/2024 00:00,12:00 am
Dublin,5,Overcast ,19,E,0,577,09/03/2024 00:45,09/03/2024 00:00,12:00 am
Dublin,6,Partly cloudy,21,E,0,579,09/03/2024 01:15,09/03/2024 00:00,1:00 am
Dublin,5,Partly cloudy,21,E,0,581,09/03/2024 01:45,09/03/2024 00:00,1:00 am
Dublin,5,Partly cloudy,17,E,0,583,09/03/2024 02:15,09/03/2024 00:00,2:00 am
Dublin,5,Partly cloudy,19,E,0,585,09/03/2024 02:45,09/03/2024 00:00,2:00 am
Dublin,6,Partly cloudy,19,E,0,587,09/03/2024 03:15,09/03/2024 00:00,3:00 am
Dublin,6,Partly cloudy,22,ENE,0,589,09/03/2024 03:45,09/03/2024 00:00,3:00 am
Dublin,6,Partly cloudy,24,ENE,0,591,09/03/2024 04:15,09/03/2024 00:00,4:00 am
Dublin,6,Partly cloudy,26,ENE,0,593,09/03/2024 04:45,09/03/2024 00:00,4:00 am
Dublin,6,Overcast,22,E,0,595,09/03/2024 05:15,09/03/2024 00:00,5:00 am
Dublin,6,Overcast,27,ENE,0,597,09/03/2024 05:45,09/03/2024 00:00,5:00 am
Dublin,6,Overcast,23,ENE,0,599,09/03/2024 06:15,09/03/2024 00:00,6:00 am
Dublin,6,Overcast,24,ENE,0,601,09/03/2024 06:45,09/03/2024 00:00,6:00 am
Dublin,6,Overcast,26,ENE,0,603,09/03/2024 07:15,09/03/2024 00:00,7:00 am
Dublin,6,Overcast,26,ENE,0,605,09/03/2024 07:45,09/03/2024 00:00,7:00 am
Dublin,6,Partly cloudy,26,ENE,0,607,09/03/2024 08:30,09/03/2024 00:00,8:00 am
Dublin,6,Overcast,15,ENE,0,609,09/03/2024 08:45,09/03/2024 00:00,8:00 am
Dublin,6,Partly cloudy,24,ENE,0,611,09/03/2024 09:15,09/03/2024 00:00,9:00 am
Dublin,6,Partly cloudy,27,ENE,0,613,09/03/2024 09:45,09/03/2024 00:00,9:00 am
Dublin,6,Overcast,17,E,0,615,09/03/2024 10:15,09/03/2024 00:00,10:00 am
Dublin,6,Overcast,17,E,0,617,09/03/2024 10:45,09/03/2024 00:00,10:00 am
Dublin,7,Partly cloudy,24,ENE,0,619,09/03/2024 11:15,09/03/2024 00:00,11:00 am
Dublin,7,Light rain,23,ENE,0,621,09/03/2024 11:45,09/03/2024 00:00,11:00 am
Dublin,6,Light rain,21,E,0,623,09/03/2024 12:15,09/03/2024 00:00,12:00 pm
Dublin,6,Light rain,23,E,0,625,09/03/2024 12:45,09/03/2024 00:00,12:00 pm
Dublin,6,Light rain,17,E,0,627,09/03/2024 13:15,09/03/2024 00:00,1:00 pm
Dublin,6,Light rain,17,E,0,629,09/03/2024 13:45,09/03/2024 00:00,1:00 pm
Dublin,6,Light rain,16,E,0,631,09/03/2024 14:15,09/03/2024 00:00,2:00 pm
Dublin,6,Light rain,16,E,0,633,09/03/2024 14:45,09/03/2024 00:00,2:00 pm
Dublin,7,Mist,19,E,0,635,09/03/2024 15:15,09/03/2024 00:00,3:00 pm
Dublin,7,Mist,19,E,0,637,09/03/2024 15:45,09/03/2024 00:00,3:00 pm
Dublin,7,Mist,19,E,0,639,09/03/2024 16:15,09/03/2024 00:00,4:00 pm
Dublin,7,Mist,19,ENE,0,641,09/03/2024 16:45,09/03/2024 00:00,4:00 pm
Dublin,7,Mist,19,ENE,0,643,09/03/2024 17:15,09/03/2024 00:00,5:00 pm
Dublin,7,Light drizzle,16,ENE,0,645,09/03/2024 17:45,09/03/2024 00:00,5:00 pm
Dublin,7,Mist,17,ENE,0,647,09/03/2024 18:15,09/03/2024 00:00,6:00 pm
Dublin,7,Mist,15,ENE,0,649,09/03/2024 18:45,09/03/2024 00:00,6:00 pm
Dublin,7,Mist,17,ENE,0,651,09/03/2024 19:15,09/03/2024 00:00,7:00 pm
Dublin,7,Mist,15,NE,0,653,09/03/2024 19:45,09/03/2024 00:00,7:00 pm
Dublin,7,Mist,8,ENE,0,655,09/03/2024 20:15,09/03/2024 00:00,8:00 pm
Dublin,7,Mist,8,ENE,0,657,09/03/2024 20:45,09/03/2024 00:00,8:00 pm
Dublin,7,Partly cloudy,17,ENE,0,659,09/03/2024 21:15,09/03/2024 00:00,9:00 pm
Dublin,7,Partly cloudy,19,ENE,0,661,09/03/2024 21:45,09/03/2024 00:00,9:00 pm
Dublin,7,Overcast,13,E,0,663,09/03/2024 22:15,09/03/2024 00:00,10:00 pm
Dublin,7,Partly cloudy,17,ENE,0,665,09/03/2024 22:45,09/03/2024 00:00,10:00 pm
Dublin,7,Overcast,13,E,0,667,09/03/2024 23:30,09/03/2024 00:00,11:00 pm
Dublin,7,Partly cloudy,17,ENE,0,669,09/03/2024 23:45,09/03/2024 00:00,11:00 pm
Dublin,7,Partly cloudy,17,ENE,0,671,10/03/2024 00:15,10/03/2024 00:00,12:00 am
Dublin,6,Overcast ,16,ENE,0,673,10/03/2024 00:45,10/03/2024 00:00,12:00 am
Dublin,7,Partly cloudy,21,ENE,0,675,10/03/2024 01:15,10/03/2024 00:00,1:00 am
Dublin,7,Overcast,14,ENE,0,677,10/03/2024 01:45,10/03/2024 00:00,1:00 am
Dublin,7,Partly cloudy,17,ENE,0,679,10/03/2024 02:15,10/03/2024 00:00,2:00 am
Dublin,7,Partly cloudy,17,ENE,0,681,10/03/2024 02:45,10/03/2024 00:00,2:00 am
Dublin,7,Partly cloudy,15,ENE,0,683,10/03/2024 03:15,10/03/2024 00:00,3:00 am
Dublin,7,Overcast,12,ENE,0,685,10/03/2024 03:45,10/03/2024 00:00,3:00 am
Dublin,7,Light rain,14,NE,0,687,10/03/2024 04:15,10/03/2024 00:00,4:00 am
Dublin,7,Light rain,14,NE,0,689,10/03/2024 04:45,10/03/2024 00:00,4:00 am
Dublin,7,Partly cloudy,15,NE,0,691,10/03/2024 05:15,10/03/2024 00:00,5:00 am
Dublin,6,Light rain,11,NE,0,693,10/03/2024 05:45,10/03/2024 00:00,5:00 am
Dublin,7,Mist,17,NE,0,695,10/03/2024 06:15,10/03/2024 00:00,6:00 am
Dublin,6,Light drizzle,9,NE,0,697,10/03/2024 06:45,10/03/2024 00:00,6:00 am
Dublin,7,Light rain,14,NE,0,699,10/03/2024 07:15,10/03/2024 00:00,7:00 am
Dublin,7,Mist,12,NE,0,701,10/03/2024 07:45,10/03/2024 00:00,7:00 am
Dublin,7,Light rain,13,NE,0,703,10/03/2024 08:15,10/03/2024 00:00,8:00 am
Dublin,7,Light rain,14,NE,0,705,10/03/2024 08:45,10/03/2024 00:00,8:00 am
Dublin,7,Light rain,13,NE,0,707,10/03/2024 09:15,10/03/2024 00:00,9:00 am
Dublin,7,Light drizzle,11,NE,0,709,10/03/2024 09:45,10/03/2024 00:00,9:00 am
Dublin,7,Light drizzle,13,NE,0,711,10/03/2024 10:15,10/03/2024 00:00,10:00 am
Dublin,7,Light drizzle,15,NE,0,713,10/03/2024 10:45,10/03/2024 00:00,10:00 am
